Ano,Combustivel,Consumo
1983,Gasolina C,7.7
1983,Etanol,7.1
1984,Gasolina C,7.7
1984,Etanol,7.1
1985,Gasolina C,7.7
1985,Etanol,7.1
1986,Gasolina C,7.7
1986,Etanol,7.1
1987,Gasolina C,7.7
1987,Etanol,7.1
1988,Gasolina C,7.7
1988,Etanol,7.1
1989,Gasolina C,7.7
1989,Etanol,7.1
1990,Gasolina C,7.7
1990,Etanol,7.1
1991,Gasolina C,7.7
1991,Etanol,7.1
1992,Gasolina C,7.7
1992,Etanol,7.1
1993,Gasolina C,7.7
1993,Etanol,7.1
1994,Gasolina C,7.7
1994,Etanol,7.1
1995,Gasolina C,7.7
1995,Etanol,7.1
1996,Gasolina C,7.4
1996,Etanol,5.8
1997,Gasolina C,7.5
1997,Etanol,5.7
1998,Gasolina C,7.6
1998,Etanol,5.4
1999,Gasolina C,7.8
1999,Etanol,5.3
2000,Gasolina C,7.8
2000,Etanol,5.2
2001,Gasolina C,7.8
2001,Etanol,5.2
2002,Gasolina C,7.6
2002,Etanol,5.7
2003,Gasolina C,7.6
2003,Etanol,5.7
2003,Flex -Gasolina C,10.3
2003,Flex -Etanol,6.9
2004,Gasolina C,7.8
2004,Etanol,5.7
2004,Flex -Gasolina C,10.8
2004,Flex -Etanol,7.3
2005,Gasolina C,7.7
2005,Etanol,5.8
2005,Flex -Gasolina C,11.5
2005,Flex -Etanol,7.7
2006,Gasolina C,7.7
2006,Etanol,5.8
2006,Flex -Gasolina C,10.1
2006,Flex -Etanol,7.1
2006,Diesel,9.6
2007,Gasolina C,7.7
2007,Flex -Gasolina C,9.8
2007,Flex -Etanol,7.1
2007,Diesel,9.6
2008,Gasolina C,7.7
2008,Flex -Gasol.C,8.6
2008,Flex -Etanol,6.1
2008,Diesel,9.3
2009,Gasolina C,8.3
2009,Flex -Gasol.C,8.3
2009,Flex -Etanol,7.0
2009,Diesel,9.5
2010,Gasolina C,9.2
2010,Flex -Gasol.C,9.2
2010,Flex -Etanol,6.7
2010,Diesel,10.0
2011,Gasolina C,9.8
2011,Flex -Gasol.C,8.6
2011,Flex -Etanol,6.2
2011,Diesel,10.1
2012,Gasolina C,10.1
2012,Flex -Gasol.C,9.0
2012,Flex -Etanol,6.2
2012,Diesel,10.6
2013,Gasolina C,9.0
2013,Flex -Gasol.C,9.1
2013,Flex -Etanol,6.3
2013,Diesel,10.4
2014,Gasolina C,9.9
2014,Flex -Gasol.C,9.2
2014,Flex -Etanol,6.3
2014,Diesel,10.4
2015,Gasolina C,10.6
2015,Flex -Gasol.C,10.0
2015,Flex -Etanol,6.8
2015,Diesel,10.6
2016,Gasolina C,10.4
2016,Flex -Gasol.C,10.1
2016,Flex -Etanol,6.7
2016,Diesel,10.8
2017,Gasolina,10.9
2017,Flex -Gasolina,10.7
2017,Flex -Etanol,7.4
2017,Diesel,10.8
2018,Gasolina,10.9
2018,Flex -Gasolina,11.1
2018,Flex -Etanol,7.8
2018,Diesel,11.1
2019,Gasolina,15.3
2019,Flex -Gasolina,11.3
2019,Flex -Etanol,7.6
2019,Diesel,11.3
