Marca_Modelo,Quantidade
VW/GOL 1.0,554038.0
VW/KOMBI,453083.0
HONDA/CG 125 FAN KS,426056.0
HONDA/CG 125 FAN,370038.0
VW/FUSCA 1300,365263.0
GM/CORSA WIND,338528.0
HONDA/CG 150 TITAN KS,334022.0
HONDA/CG 125 TITAN,248741.0
HONDA/CG 125 TITAN KS,244402.0
FIAT/PALIO FIRE FLEX,238423.0
VW/BRASILIA,225057.0
HONDA/CG 150 FAN ESI,223328.0
HONDA/CG150 FAN ESDI,212532.0
CHEVROLET/ONIX 1.0MT LT,206135.0
HONDA/BIZ 125 ES,205083.0
FIAT/PALIO FIRE ECONOMY,198815.0
FIAT/UNO VIVACE 1.0,197953.0
HONDA/CBX 250 TWISTER,197324.0
GM/CHEVETTE,196651.0
FORD/FIESTA FLEX,196015.0
FIAT/PALIO FIRE,194654.0
FIAT/PALIO EX,185776.0
HONDA/CG 125 FAN ES,185599.0
VW/FOX 1.0,183600.0
HONDA/CG 150 TITAN ESD,183337.0
HYUNDAI/HB20 1.0M COMFOR,182746.0
VW/GOL CL,180698.0
HONDA/CG 160 FAN,175214.0
FIAT/UNO ELECTRONIC,175141.0
FORD/KA FLEX,169421.0
FORD/FIESTA,166083.0
HONDA/CB 300R,164723.0
CHEVROLET/CLASSIC LS,164014.0
HONDA/NXR160 BROS ESDD,160395.0
FIAT/UNO MILLE FIRE FLEX,156670.0
GM/CELTA 2P LIFE,156517.0
VW/GOL 1.0 GIV,153611.0
VW/FOX 1.0 GII,146160.0
GM/MONZA SL/E,140534.0
CHEVROLET/ONIX 10MT JOYE,140293.0
FIAT/UNO MILLE FIRE,137768.0
TOYOTA/COROLLA XEI20FLEX,137428.0
CHEVROLET/CELTA 1.0L LT,137224.0
HONDA/CG 160 START,136240.0
HONDA/NXR150 BROS ES,133666.0
FIAT/UNO MILLE ECONOMY,133654.0
YAMAHA/YBR 125K,131969.0
VW/GOL SPECIAL,130944.0
HONDA/XRE 300,130937.0
