Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
36,Volkswagen,480,GOL,2022,GOL,
36,Volkswagen,480,GOL,2021,GOL,
36,Volkswagen,480,GOL,2020,GOL,
36,Volkswagen,480,GOL,2019,GOL,
36,Volkswagen,480,GOL,2018,GOL,
36,Volkswagen,480,GOL,2017,GOL,
36,Volkswagen,480,GOL,2016,GOL,
36,Volkswagen,480,GOL,2015,GOL,
36,Volkswagen,480,GOL,2014,GOL,
36,Volkswagen,480,GOL,2013,GOL,
36,Volkswagen,480,GOL,2012,GOL,
36,Volkswagen,480,GOL,2011,GOL,
36,Volkswagen,480,GOL,2010,GOL,
36,Volkswagen,480,GOL,2009,GOL,
36,Volkswagen,480,GOL,2008,GOL,
36,Volkswagen,480,GOL,2007,GOL,
36,Volkswagen,480,GOL,2006,GOL,
36,Volkswagen,480,GOL,2005,GOL,
36,Volkswagen,480,GOL,2004,GOL,
36,Volkswagen,480,GOL,2003,GOL,
36,Volkswagen,480,GOL,2002,GOL,
36,Volkswagen,480,GOL,2001,GOL,
36,Volkswagen,480,GOL,2000,GOL,
36,Volkswagen,480,GOL,1999,GOL,
36,Volkswagen,480,GOL,1998,GOL,
36,Volkswagen,480,GOL,1997,GOL,
36,Volkswagen,480,GOL,1996,GOL,
36,Volkswagen,480,GOL,1995,GOL,
36,Volkswagen,480,GOL,1994,GOL,
36,Volkswagen,480,GOL,1993,GOL,
36,Volkswagen,480,GOL,1992,GOL,
36,Volkswagen,480,GOL,1991,GOL,
36,Volkswagen,480,GOL,1990,GOL,
36,Volkswagen,480,GOL,1989,GOL,
36,Volkswagen,480,GOL,1988,GOL,
36,Volkswagen,480,GOL,1987,GOL,
36,Volkswagen,480,GOL,1986,GOL,
36,Volkswagen,480,GOL,1985,GOL,
36,Volkswagen,480,GOL,1984,GOL,
36,Volkswagen,480,GOL,1983,GOL,
36,Volkswagen,480,GOL,1982,GOL,
36,Volkswagen,480,GOL,1981,GOL,
3,Audi,12,100,2021,100,
3,Audi,20,100 AVANT,2021,100,AVANT
3,Audi,15,A3,2021,A3,
3,Audi,2550,A3 CABRIOLET,2021,A3,CABRIOLET
3,Audi,2517,A3 SEDAN,2021,A3,SEDAN
3,Audi,35,TT,2021,TT,
3,Audi,2575,TT RS,2021,TT,RS
4,BMW,2617,X4,2021,X4,
100,Caoa Chery,1092,CIELO HATCH,2022,CIELO,HATCH
100,Caoa Chery,1093,CIELO SEDAN,2022,CIELO,SEDAN
5,Chevrolet,121,ASTRA HATCH,2022,ASTRA,HATCH
5,Chevrolet,122,ASTRA SEDAN,2022,ASTRA,SEDAN
5,Chevrolet,123,ASTRA WAGON,2022,ASTRA,WAGON
5,Chevrolet,559,BLAZER,2022,BLAZER,
5,Chevrolet,539,C10,2022,C10,
5,Chevrolet,543,C20,2022,C20,
5,Chevrolet,128,CARAVAN,2022,CARAVAN,
5,Chevrolet,130,CELTA,2022,CELTA,
5,Chevrolet,131,CHEVETTE HATCH,2022,CHEVETTE,HATCH
5,Chevrolet,133,CHEVETTE SEDAN,2022,CHEVETTE,SEDAN
5,Chevrolet,547,CHEVY 500,2022,CHEVY,500
5,Chevrolet,877,CLASSIC,2022,CLASSIC,
5,Chevrolet,2329,COBALT,2022,COBALT,
5,Chevrolet,134,CORSA HATCH,2000,CORSA,HATCH
5,Chevrolet,548,CORSA PICK-UP,2001,CORSA,PICK-UP
5,Chevrolet,135,CORSA SEDAN,2001,CORSA,SEDAN
5,Chevrolet,136,CORSA WAGON,2002,CORSA,WAGON
5,Chevrolet,2317,CRUZE,2022,CRUZE,
5,Chevrolet,2363,CRUZE SPORT6,2022,CRUZE,SPORT6
5,Chevrolet,140,KADETT,2022,KADETT,
5,Chevrolet,139,KADETT CONVERSIVEL,2022,KADETT,CONVERSIVEL
5,Chevrolet,143,MERIVA,2022,MERIVA,
5,Chevrolet,558,MONTANA,2022,MONTANA,
5,Chevrolet,920,MONTANA COMBO,2022,MONTANA,COMBO
5,Chevrolet,145,MONZA,2022,MONZA,
5,Chevrolet,144,MONZA HATCH,2022,MONZA,HATCH
5,Chevrolet,146,OMEGA,2022,OMEGA,
5,Chevrolet,2428,ONIX,2022,ONIX,
5,Chevrolet,2794,ONIX PLUS,2022,ONIX,PLUS
5,Chevrolet,149,OPALA,2022,OPALA,
5,Chevrolet,148,OPALA COUPE,2022,OPALA,COUPE
5,Chevrolet,902,PRISMA,2022,PRISMA,
5,Chevrolet,560,S10 CABINE DUPLA,2022,S10,CABINE DUPLA
5,Chevrolet,2487,S10 CABINE SIMPLES,2022,S10,CABINE SIMPLES
5,Chevrolet,2388,SPIN,2022,SPIN,
5,Chevrolet,567,TRACKER,2022,TRACKER,
5,Chevrolet,151,VECTRA,2022,VECTRA,
5,Chevrolet,914,VECTRA GT,2022,VECTRA,GT
5,Chevrolet,152,ZAFIRA,2022,ZAFIRA,
7,Citroën,162,AX,2021,AX,
7,Citroën,164,BX,2021,BX,
7,Citroën,165,C3,2021,C3,
7,Citroën,2295,C3 PICASSO,2021,C3,PICASSO
7,Citroën,173,XSARA,2021,XSARA,
7,Citroën,174,XSARA BREAK,2021,XSARA,BREAK
7,Citroën,2655,XSARA COUPE,2021,XSARA,COUPE
7,Citroën,175,XSARA PICASSO,2021,XSARA,PICASSO
12,Dodge,1078,DART,2018,DART,
91,Effa,953,HAFEI ZHONGYI FURGÃO,2019,HAFEI,ZHONGYI FURGÃO
91,Effa,954,HAFEI ZHONGYI PICAPE,2019,HAFEI,ZHONGYI PICAPE
91,Effa,2324,HAFEI ZHONGYI START,2019,HAFEI,ZHONGYI START
91,Effa,951,HAFEI ZHONGYI VAN,2019,HAFEI,ZHONGYI VAN
14,Fiat,202,147,2022,147,
14,Fiat,588,147 FURGAO,2022,147,FURGAO
14,Fiat,589,147 PICK-UP,2022,147,PICK-UP
14,Fiat,2723,ARGO,2022,ARGO,
14,Fiat,204,BRAVA,2022,BRAVA,
14,Fiat,205,BRAVO,2022,BRAVO,
14,Fiat,208,DOBLÒ,2022,DOBLÒ,
14,Fiat,1103,DOBLÒ CARGO,2022,DOBLÒ,CARGO
14,Fiat,591,DUCATO,2022,DUCATO,
14,Fiat,210,ELBA,2022,ELBA,
14,Fiat,893,FIORINO,2022,FIORINO,
14,Fiat,935,FIORINO PICK-UP,2022,FIORINO,PICK-UP
14,Fiat,857,IDEA,2022,IDEA,
14,Fiat,973,LINEA,2022,LINEA,
14,Fiat,211,MAREA,2022,MAREA,
14,Fiat,212,MAREA WEEKEND,2022,MAREA,WEEKEND
14,Fiat,2679,MOBI,2022,MOBI,
14,Fiat,214,PALIO,2002,PALIO,
14,Fiat,215,PALIO WEEKEND,2014,PALIO,WEEKEND
14,Fiat,217,PREMIO,2022,PREMIO,
14,Fiat,218,PUNTO,2022,PUNTO,
14,Fiat,219,PUNTO CABRIO,2022,PUNTO,CABRIO
14,Fiat,220,SIENA,2022,SIENA,
14,Fiat,221,STILO,2022,STILO,
14,Fiat,601,STRADA,2022,STRADA,
14,Fiat,222,TEMPRA,2022,TEMPRA,
14,Fiat,2667,TORO,2022,TORO,
14,Fiat,1087,UNO,2021,UNO,
14,Fiat,603,UNO FURGÃO,1993,UNO,FURGÃO
14,Fiat,269,UNO MILLE,1991,UNO,MILLE
14,Fiat,604,UNO PICK-UP,1994,UNO,PICK-UP
14,Fiat,2543,WEEKEND,2022,WEEKEND,
15,Ford,1023,BELINA,2021,BELINA,
15,Ford,605,CLUB WAGON,2021,CLUB,WAGON
15,Ford,273,CORCEL,2021,CORCEL,
15,Ford,606,COURIER,2021,COURIER,
15,Ford,887,COURIER VAN,2021,COURIER,VAN
15,Ford,275,CROWN VICTORIA,2021,CROWN,VICTORIA
15,Ford,278,DEL REY,2021,DEL,REY
15,Ford,276,DEL REY BELINA / SCALA,2021,DEL,REY BELINA / SCALA
15,Ford,607,ECOSPORT,2021,ECOSPORT,
15,Ford,280,ESCORT,2021,ESCORT,
15,Ford,279,ESCORT CONVERSIVEL,2021,ESCORT,CONVERSIVEL
15,Ford,281,ESCORT SEDAN,2021,ESCORT,SEDAN
15,Ford,282,ESCORT SW,2021,ESCORT,SW
15,Ford,611,F-1000,2021,F-1000,
15,Ford,619,F-250,2021,F-250,
15,Ford,979,F-4000,2021,F-4000,
15,Ford,283,FIESTA HATCH,2021,FIESTA,HATCH
15,Ford,284,FIESTA SEDAN,2021,FIESTA,SEDAN
15,Ford,1064,FORD 1929,2021,FORD,1929
15,Ford,625,IBIZA,2021,IBIZA,
15,Ford,287,KA,2021,KA,
15,Ford,2547,KA SEDAN,2021,KA,SEDAN
15,Ford,627,PAMPA,2021,PAMPA,
15,Ford,295,VERONA,2021,VERONA,
15,Ford,224,VERSAILLES,2021,VERSAILLES,
15,Ford,296,VERSAILLES ROYALE,2021,VERSAILLES,ROYALE
16,Honda,1036,CITY,2021,CITY,
16,Honda,231,CIVIC,2021,CIVIC,
16,Honda,229,CIVIC COUPE,2021,CIVIC,COUPE
16,Honda,230,CIVIC HATCH,2021,CIVIC,HATCH
16,Honda,232,CIVIC TARGA,2021,CIVIC,TARGA
16,Honda,233,FIT,2021,FIT,
16,Honda,2627,HR-V,2021,HR-V,
16,Honda,2720,WR-V,2021,WR-V,
17,Hyundai,238,ATOS,2022,ATOS,
17,Hyundai,926,AZERA,2022,AZERA,
17,Hyundai,2714,CRETA,2022,CRETA,
17,Hyundai,2398,HB20,2022,HB20,
17,Hyundai,2448,HB20S,2022,HB20S,
17,Hyundai,2439,HB20X,2022,HB20X,
17,Hyundai,865,HR,2022,HR,
17,Hyundai,1082,IX35,2022,IX35,
17,Hyundai,826,TUCSON,2022,TUCSON,
71,Iveco,661,DAILY,2019,DAILY,
71,Iveco,2684,DAILY FURGÃO,2019,DAILY,FURGÃO
71,Iveco,2510,DAILY MINIBUS,2019,DAILY,MINIBUS
71,Iveco,2685,DAILY VETRATO,2019,DAILY,VETRATO
228,Jac,2671,T5,2022,T5,
228,Jac,2780,T50,2022,T50,
18,Jaguar,2657,XE,2020,XE,
19,Jeep,2340,COMPASS,2021,COMPASS,
19,Jeep,2628,RENEGADE,2021,RENEGADE,
20,Kia,889,PICANTO,2022,PICANTO,
52,Lamborghini,2799,URUS,2016,URUS,
22,Land Rover,678,DEFENDER,2021,DEFENDER,
22,Land Rover,682,FREELANDER,2021,FREELANDER,
23,Lexus,299,LS 400,2019,LS,400
23,Lexus,301,LS 430,2019,LS,430
23,Lexus,925,LS 460,2019,LS,460
23,Lexus,2746,LS 500,2019,LS,500
23,Lexus,2641,NX 200T,2019,NX,200T
23,Lexus,2747,NX 300,2019,NX,300
106,Lifan,2486,X60,2019,X60,
26,Mercedes-Benz,699,SPRINTER,2022,SPRINTER,
26,Mercedes-Benz,705,V 220,2022,V,220
56,MINI,2571,CABRIO,2020,CABRIO,
27,Mitsubishi,2244,ASX,2022,ASX,
27,Mitsubishi,707,L200,2022,L200,
27,Mitsubishi,1109,L200 OUTDOOR,2022,L200,OUTDOOR
27,Mitsubishi,1110,L200 TRITON,2022,L200,TRITON
27,Mitsubishi,384,LANCER,2022,LANCER,
27,Mitsubishi,866,LANCER EVOLUTION,2022,LANCER,EVOLUTION
27,Mitsubishi,2325,LANCER SPORTBACK,2022,LANCER,SPORTBACK
27,Mitsubishi,712,PAJERO,2022,PAJERO,
27,Mitsubishi,1032,PAJERO DAKAR,2022,PAJERO,DAKAR
