RM,Capital,UF,Municipio_Acentuado,Municipio
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BRASÍLIA,BRASILIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ABADIÂNIA,ABADIANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ÁGUA FRIA DE GOIÁS,AGUA FRIA DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ÁGUAS LINDAS DE GOIÁS,AGUAS LINDAS DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALEXÂNIA,ALEXANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALTO PARAÍSO DE GOIÁS,ALTO PARAISO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ALVORADA DO NORTE,ALVORADA DO NORTE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BARRO ALTO,BARRO ALTO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CABECEIRAS,CABECEIRAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CAVALCANTE,CAVALCANTE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CIDADE OCIDENTAL,CIDADE OCIDENTAL
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,COCALZINHO DE GOIÁS,COCALZINHO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CORUMBÁ DE GOIÁS,CORUMBA DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CRISTALINA,CRISTALINA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,FLORES DE GOIÁS,FLORES DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,FORMOSA,FORMOSA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,GOIANÉSIA,GOIANESIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,LUZIÂNIA,LUZIANIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,MIMOSO DE GOIÁS,MIMOSO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,NIQUELÂNDIA,NIQUELANDIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,NOVO GAMA,NOVO GAMA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PADRE BERNARDO,PADRE BERNARDO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PIRENÓPOLIS,PIRENOPOLIS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,PLANALTINA,PLANALTINA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SANTO ANTÔNIO DO DESCOBERTO,SANTO ANTONIO DO DESCOBERTO
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SÃO JOÃO D'ALIANÇA,SAO JOAO D'ALIANCA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,SIMOLÂNDIA,SIMOLANDIA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VALPARAÍSO DE GOIÁS,VALPARAISO DE GOIAS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VILA BOA,VILA BOA
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,ARINOS,ARINOS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,BURITIS,BURITIS
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,CABECEIRA GRANDE,CABECEIRA GRANDE
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,UNAÍ,UNAI
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,Brasília,DISTRITO FEDERAL,VILA PROPÍCIO,VILA PROPICIO
Região Metropolitana de Goiânia,Goiânia,GOIAS,ABADIA DE GOIÁS,ABADIA DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,APARECIDA DE GOIÂNIA,APARECIDA DE GOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,ARAGOIÂNIA,ARAGOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,BELA VISTA DE GOIÁS,BELA VISTA DE GOIAS
Região Metropolitana de Goiânia,Goiânia,GOIAS,BONFINÓPOLIS,BONFINOPOLIS
Região Metropolitana de Goiânia,Goiânia,GOIAS,BRAZABRANTES,BRAZABRANTES
Região Metropolitana de Goiânia,Goiânia,GOIAS,CALDAZINHA,CALDAZINHA
Região Metropolitana de Goiânia,Goiânia,GOIAS,CATURAÍ,CATURAI
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIANÁPOLIS,GOIANAPOLIS
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIÂNIA,GOIANIA
Região Metropolitana de Goiânia,Goiânia,GOIAS,GOIANIRA,GOIANIRA
Região Metropolitana de Goiânia,Goiânia,GOIAS,GUAPÓ,GUAPO
