RM,Ano,Produto,Valor_Venda
Campo Grande,2013,DIESEL,2.4323784021070938
Campo Grande,2013,DIESEL S10,2.6086717741935512
Campo Grande,2013,ALCOOL,2.0837636897001155
Campo Grande,2013,GASOLINA,2.933737940026058
Campo Grande,2013,GNV,1.9841213872832424
Campo Grande,2014,DIESEL,2.6417349862258974
Campo Grande,2014,DIESEL S10,2.8102070196311804
Campo Grande,2014,ALCOOL,2.1065957132298583
Campo Grande,2014,GASOLINA,2.991692535107132
Campo Grande,2014,GNV,2.1184357142857113
Campo Grande,2015,DIESEL,2.9868790012803927
Campo Grande,2015,DIESEL S10,3.1344417001723155
Campo Grande,2015,ALCOOL,2.2479341680129115
Campo Grande,2015,GASOLINA,3.2160771405492645
Campo Grande,2015,GNV,2.2068224299065426
Campo Grande,2016,DIESEL,3.2222423208191113
Campo Grande,2016,DIESEL S10,3.3786956168830704
Campo Grande,2016,ALCOOL,2.7482153941651126
Campo Grande,2016,GASOLINA,3.3592934243176282
Campo Grande,2016,GNV,2.373853333333333
Campo Grande,2017,DIESEL,3.3536429391504
Campo Grande,2017,DIESEL S10,3.5576586345381687
Campo Grande,2017,ALCOOL,3.0407022332506144
Campo Grande,2017,GASOLINA,3.5888380893300074
Campo Grande,2017,GNV,2.382974358974359
Campo Grande,2018,DIESEL,3.600910397295006
Campo Grande,2018,DIESEL S10,3.7169087346024514
Campo Grande,2018,ALCOOL,3.2649438305708447
Campo Grande,2018,GASOLINA,4.151166437414034
Campo Grande,2018,GNV,2.696000000000001
Campo Grande,2019,DIESEL,3.576942503638997
Campo Grande,2019,DIESEL S10,3.6865782073813733
Campo Grande,2019,ALCOOL,3.3209178807946893
Campo Grande,2019,GASOLINA,4.046990274093737
Campo Grande,2019,GNV,2.9416036036036037
Região Integrada de Desenvolvimento da Grande Teresina,2013,DIESEL,2.300680208333327
Região Integrada de Desenvolvimento da Grande Teresina,2013,DIESEL S10,2.4234534005037753
Região Integrada de Desenvolvimento da Grande Teresina,2013,ALCOOL,2.3896911247803234
Região Integrada de Desenvolvimento da Grande Teresina,2013,GASOLINA,2.7194842138167554
Região Integrada de Desenvolvimento da Grande Teresina,2014,DIESEL,2.4990318289786058
Região Integrada de Desenvolvimento da Grande Teresina,2014,DIESEL S10,2.630035665294918
Região Integrada de Desenvolvimento da Grande Teresina,2014,ALCOOL,2.530082823791037
Região Integrada de Desenvolvimento da Grande Teresina,2014,GASOLINA,2.8235204309063957
Região Integrada de Desenvolvimento da Grande Teresina,2015,DIESEL,2.884989086731726
Região Integrada de Desenvolvimento da Grande Teresina,2015,DIESEL S10,3.0240147727272015
Região Integrada de Desenvolvimento da Grande Teresina,2015,ALCOOL,2.6851988950276686
Região Integrada de Desenvolvimento da Grande Teresina,2015,GASOLINA,3.235901287553626
Região Integrada de Desenvolvimento da Grande Teresina,2016,DIESEL,3.1622610619469285
Região Integrada de Desenvolvimento da Grande Teresina,2016,DIESEL S10,3.269972495088401
Região Integrada de Desenvolvimento da Grande Teresina,2016,ALCOOL,3.0984590043923386
Região Integrada de Desenvolvimento da Grande Teresina,2016,GASOLINA,3.639665188470049
Região Integrada de Desenvolvimento da Grande Teresina,2017,DIESEL,3.152603471295049
Região Integrada de Desenvolvimento da Grande Teresina,2017,DIESEL S10,3.2789438775510185
Região Integrada de Desenvolvimento da Grande Teresina,2017,ALCOOL,3.078305953278014
Região Integrada de Desenvolvimento da Grande Teresina,2017,GASOLINA,3.6212972651605098
Região Integrada de Desenvolvimento da Grande Teresina,2017,GNV,3.0223333333333335
Região Integrada de Desenvolvimento da Grande Teresina,2018,DIESEL,3.5764412393162606
Região Integrada de Desenvolvimento da Grande Teresina,2018,DIESEL S10,3.6654521169354424
Região Integrada de Desenvolvimento da Grande Teresina,2018,ALCOOL,3.366571678321674
Região Integrada de Desenvolvimento da Grande Teresina,2018,GASOLINA,4.375232896652105
Região Integrada de Desenvolvimento da Grande Teresina,2018,GNV,3.7445
