Ano,Tipo,Subtipo,Consumo,Combustivel
2012,CICLOMOTOR,,60.1,GASOLINA
2013,CICLOMOTOR,,61.9,GASOLINA
2014,CICLOMOTOR,,61.9,GASOLINA
2015,CICLOMOTOR,,54.6,GASOLINA
2016,CICLOMOTOR,,54.6,GASOLINA
2017,CICLOMOTOR,,54.6,GASOLINA
2018,CICLOMOTOR,,54.6,GASOLINA
2019,CICLOMOTOR,,54.6,GASOLINA
2003,MOTOCICLETA,150-,nd,GASOLINA
2003,MOTOCICLETA,150-500,nd,GASOLINA
2003,MOTOCICLETA,501+,nd,GASOLINA
2004,MOTOCICLETA,150-,nd,GASOLINA
2004,MOTOCICLETA,150-500,nd,GASOLINA
2004,MOTOCICLETA,501+,nd,GASOLINA
2005,MOTOCICLETA,150-,nd,GASOLINA
2005,MOTOCICLETA,150-500,nd,GASOLINA
2005,MOTOCICLETA,501+,nd,GASOLINA
2006,MOTOCICLETA,150-,nd,GASOLINA
2006,MOTOCICLETA,150-500,nd,GASOLINA
2006,MOTOCICLETA,501+,nd,GASOLINA
2007,MOTOCICLETA,150-,nd,GASOLINA
2007,MOTOCICLETA,150-500,nd,GASOLINA
2007,MOTOCICLETA,501+,nd,GASOLINA
2008,MOTOCICLETA,150-,nd,GASOLINA
2008,MOTOCICLETA,150-500,nd,GASOLINA
2008,MOTOCICLETA,501+,nd,GASOLINA
2009,MOTOCICLETA,150-,nd,GASOLINA
2009,MOTOCICLETA,150-500,nd,GASOLINA
2009,MOTOCICLETA,501+,nd,GASOLINA
2010,MOTOCICLETA,150-,nd,GASOLINA
2010,MOTOCICLETA,150+,nd,GASOLINA
2010,MOTOCICLETA,150-,nd,FLEX -GASOLINA
2010,MOTOCICLETA,150-,nd,FLEX -ALCOOL
2011,MOTOCICLETA,150-,38.5,GASOLINA
2011,MOTOCICLETA,150+,27.2,GASOLINA
2011,MOTOCICLETA,150-,42.8,FLEX -GASOLINA
2011,MOTOCICLETA,150-,28.0,FLEX -ALCOOL
2012,MOTOCICLETA,150-,37.8,GASOLINA
2012,MOTOCICLETA,150+,26.5,GASOLINA
2012,MOTOCICLETA,150-,43.2,FLEX -GASOLINA
2012,MOTOCICLETA,150+,29.4,FLEX -GASOLINA
2012,MOTOCICLETA,150-,29.3,FLEX -ALCOOL
2012,MOTOCICLETA,150+,19.4,FLEX -ALCOOL
2013,MOTOCICLETA,150-,40.9,GASOLINA
2013,MOTOCICLETA,150+,27.4,GASOLINA
2013,MOTOCICLETA,150-,42.5,FLEX -GASOLINA
2013,MOTOCICLETA,150+,27.6,FLEX -GASOLINA
2013,MOTOCICLETA,150-,29.4,FLEX -ALCOOL
2013,MOTOCICLETA,150+,18.3,FLEX -ALCOOL
2014,MOTOCICLETA,150-,40.9,GASOLINA
2014,MOTOCICLETA,150+,27.4,GASOLINA
2014,MOTOCICLETA,150-,42.5,FLEX -GASOLINA
2014,MOTOCICLETA,150+,27.6,FLEX -GASOLINA
2014,MOTOCICLETA,150-,29.4,FLEX -ALCOOL
