Comb_Ant,Comb_Novo
ALCOOL,ALCOOL
ALCOOL/GAS NATURAL COMBUSTIVEL,ALCOOL
ALCOOL/GAS NATURAL VEICULAR,ALCOOL
ALCOOL/GASOLINA,FLEX
DIESEL,DIESEL
DIESEL/ELETRICO,DIESEL
DIESEL/GAS NATURAL COMBUSTIVEL,DIESEL
DIESEL/GAS NATURAL VEICULAR,DIESEL
ELETRICO/FONTE EXTERNA,ELETRICO
ELETRICO/FONTE INTERNA,ELETRICO
GAS METANO,GAS METANO
GAS NATURAL VEICULAR,GNV
GAS/NATURAL/LIQUEFEITO,GNV
GASOGENIO,GASOGENIO
GASOL/GAS NATURAL COMBUSTIVEL,GASOLINA
GASOLINA,GASOLINA
GASOLINA/ALCOOL/ELETRICO,FLEX
GASOLINA/ALCOOL/GAS NATURAL,FLEX
GASOLINA/GAS NATURAL VEICULAR,GASOLINA
GASOLINA/ELETRICO,GASOLINA
Não Identificado,Não Identificado
Sem Informação,Sem Informação
VIDE/CAMPO/OBSERVACAO,VIDE/CAMPO/OBSERVACAO
