RM,Ano,Combustivel,Quantidade
Campo Grande,2000,Volume_Venda_Alcool,30912568.0
Campo Grande,2000,Volume_Venda_Diesel,319021566.0
Campo Grande,2000,Volume_Venda_Gasolina,134413994.0
Campo Grande,2001,Volume_Venda_Alcool,26725626.0
Campo Grande,2001,Volume_Venda_Diesel,292123808.0
Campo Grande,2001,Volume_Venda_Gasolina,134001668.0
Campo Grande,2002,Volume_Venda_Alcool,28657938.0
Campo Grande,2002,Volume_Venda_Diesel,284517194.0
Campo Grande,2002,Volume_Venda_Gasolina,145817210.0
Campo Grande,2003,Volume_Venda_Alcool,26784490.0
Campo Grande,2003,Volume_Venda_Diesel,299712741.0
Campo Grande,2003,Volume_Venda_Gasolina,143911299.0
Campo Grande,2004,Volume_Venda_Alcool,27646154.0
Campo Grande,2004,Volume_Venda_Diesel,307566843.0
Campo Grande,2004,Volume_Venda_Gasolina,152069030.0
Campo Grande,2005,Volume_Venda_Alcool,29781170.0
Campo Grande,2005,Volume_Venda_Diesel,283594460.0
Campo Grande,2005,Volume_Venda_Gasolina,146712259.0
Campo Grande,2006,Volume_Venda_Alcool,28693346.0
Campo Grande,2006,Volume_Venda_Diesel,268949308.151469
Campo Grande,2006,Volume_Venda_Gasolina,149943613.0
Campo Grande,2007,Volume_Venda_Alcool,48032170.0
Campo Grande,2007,Volume_Venda_Diesel,301159299.114046
Campo Grande,2007,Volume_Venda_Gasolina,151188779.0
Campo Grande,2008,Volume_Venda_Alcool,73123511.0
Campo Grande,2008,Volume_Venda_Diesel,360059504.0
Campo Grande,2008,Volume_Venda_Gasolina,156324522.0
Campo Grande,2009,Volume_Venda_Alcool,93694164.0
Campo Grande,2009,Volume_Venda_Diesel,322738190.0
Campo Grande,2009,Volume_Venda_Gasolina,163169170.0
Campo Grande,2010,Volume_Venda_Alcool,74922103.0
Campo Grande,2010,Volume_Venda_Diesel,343894439.0
Campo Grande,2010,Volume_Venda_Gasolina,200413228.0
Campo Grande,2011,Volume_Venda_Alcool,40778729.0
Campo Grande,2011,Volume_Venda_Diesel,362125761.0
Campo Grande,2011,Volume_Venda_Gasolina,249070009.0
Campo Grande,2012,Volume_Venda_Alcool,36328040.0
Campo Grande,2012,Volume_Venda_Diesel,372043320.0
Campo Grande,2012,Volume_Venda_Gasolina,269969882.0
Campo Grande,2013,Volume_Venda_Alcool,57624076.0
Campo Grande,2013,Volume_Venda_Diesel,393257847.0
Campo Grande,2013,Volume_Venda_Gasolina,274268345.0
Campo Grande,2014,Volume_Venda_Alcool,70150767.0
Campo Grande,2014,Volume_Venda_Diesel,393143540.0
Campo Grande,2014,Volume_Venda_Gasolina,289984038.0
Campo Grande,2014,Volume_Venda_GNV,4276912.0
Campo Grande,2015,Volume_Venda_Alcool,108316161.0
Campo Grande,2015,Volume_Venda_Diesel,388315243.0
Campo Grande,2015,Volume_Venda_Gasolina,276617980.0
Campo Grande,2015,Volume_Venda_GNV,3726270.0
Campo Grande,2016,Volume_Venda_Alcool,44040312.0
Campo Grande,2016,Volume_Venda_Diesel,379676320.0
Campo Grande,2016,Volume_Venda_Gasolina,325085569.0
Campo Grande,2016,Volume_Venda_GNV,3348035.0
Campo Grande,2017,Volume_Venda_Alcool,34081991.0
Campo Grande,2017,Volume_Venda_Diesel,359671223.531602
