Marca_Cod,Modelo_Cod,Ano,Chave_A
99,1104,2016,99-1104-2016
99,1105,2016,99-1105-2016
99,2457,2016,99-2457-2016
3,12,2021,3-12-2021
3,20,2021,3-20-2021
3,13,2021,3-13-2021
3,21,2021,3-21-2021
3,14,2021,3-14-2021
3,2251,2021,3-2251-2021
3,15,2021,3-15-2021
3,2550,2021,3-2550-2021
3,22,2021,3-22-2021
3,17,2021,3-17-2021
3,23,2021,3-23-2021
3,19,2021,3-19-2021
3,24,2021,3-24-2021
3,1020,2021,3-1020-2021
3,25,2021,3-25-2021
3,2331,2021,3-2331-2021
3,2748,2021,3-2748-2021
3,26,2021,3-26-2021
3,30,2021,3-30-2021
3,31,2021,3-31-2021
3,2549,2021,3-2549-2021
3,32,2021,3-32-2021
3,28,2021,3-28-2021
3,2440,2021,3-2440-2021
3,33,2021,3-33-2021
3,29,2021,3-29-2021
3,2441,2021,3-2441-2021
3,34,2021,3-34-2021
3,2544,2021,3-2544-2021
3,35,2021,3-35-2021
3,1111,2021,3-1111-2021
104,1106,2016,104-1106-2016
4,2495,2021,4-2495-2021
4,2625,2021,4-2625-2021
4,2548,2021,4-2548-2021
4,110,2021,4-110-2021
4,111,2021,4-111-2021
4,1026,2021,4-1026-2021
4,2615,2021,4-2615-2021
4,112,2021,4-112-2021
4,113,2021,4-113-2021
4,864,2021,4-864-2021
4,966,2021,4-966-2021
4,1025,2021,4-1025-2021
4,42,2021,4-42-2021
4,38,2021,4-38-2021
4,60,2021,4-60-2021
4,53,2021,4-53-2021
4,2518,2021,4-2518-2021
4,74,2021,4-74-2021
4,76,2021,4-76-2021
4,884,2021,4-884-2021
4,819,2021,4-819-2021
4,2445,2021,4-2445-2021
4,114,2021,4-114-2021
4,917,2021,4-917-2021
4,116,2021,4-116-2021
100,2770,2022,100-2770-2022
100,2806,2022,100-2806-2022
100,2458,2022,100-2458-2022
100,1092,2022,100-1092-2022
100,1093,2022,100-1093-2022
100,1107,2022,100-1107-2022
100,2260,2022,100-2260-2022
100,2338,2022,100-2338-2022
100,1043,2022,100-1043-2022
5,528,2022,5-528-2022
5,532,2022,5-532-2022
5,1055,2022,5-1055-2022
5,121,2022,5-121-2022
5,122,2022,5-122-2022
5,123,2022,5-123-2022
5,536,2022,5-536-2022
5,1096,2022,5-1096-2022
5,559,2022,5-559-2022
5,2811,2022,5-2811-2022
5,537,2022,5-537-2022
5,1076,2022,5-1076-2022
5,538,2022,5-538-2022
5,539,2022,5-539-2022
5,1050,2022,5-1050-2022
5,543,2022,5-543-2022
5,124,2022,5-124-2022
5,125,2022,5-125-2022
5,126,2022,5-126-2022
5,127,2022,5-127-2022
5,964,2022,5-964-2022
5,128,2022,5-128-2022
5,129,2022,5-129-2022
5,130,2022,5-130-2022
5,131,2022,5-131-2022
5,133,2022,5-133-2022
5,547,2022,5-547-2022
5,1120,2022,5-1120-2022
5,877,2022,5-877-2022
5,2329,2022,5-2329-2022
5,1125,2022,5-1125-2022
5,137,2022,5-137-2022
5,138,2022,5-138-2022
5,2317,2022,5-2317-2022
5,2363,2022,5-2363-2022
5,549,2022,5-549-2022
5,553,2022,5-553-2022
5,833,2022,5-833-2022
