Marca_Cod,Modelo_Cod,Versao_Cod,Ano,Chave_A,Chave_B
14,2667,31112,2022,14-2667-2022,14-2667-31112-2022
14,2667,31113,2022,14-2667-2022,14-2667-31113-2022
15,607,30324,2021,15-607-2021,15-607-30324-2021
15,607,30322,2021,15-607-2021,15-607-30322-2021
15,607,30325,2021,15-607-2021,15-607-30325-2021
15,607,30323,2021,15-607-2021,15-607-30323-2021
15,607,30327,2021,15-607-2021,15-607-30327-2021
15,607,30328,2021,15-607-2021,15-607-30328-2021
15,287,30331,2021,15-287-2021,15-287-30331-2021
17,2398,30968,2022,17-2398-2022,17-2398-30968-2022
17,2398,30962,2022,17-2398-2022,17-2398-30962-2022
17,2398,30971,2022,17-2398-2022,17-2398-30971-2022
17,2398,30972,2022,17-2398-2022,17-2398-30972-2022
17,2398,30966,2022,17-2398-2022,17-2398-30966-2022
17,2398,31133,2022,17-2398-2022,17-2398-31133-2022
17,2398,31122,2022,17-2398-2022,17-2398-31122-2022
17,2448,30964,2022,17-2448-2022,17-2448-30964-2022
17,2448,30969,2022,17-2448-2022,17-2448-30969-2022
