Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B,Combustivel
35,Toyota,468,COROLLA,2021,Corolla 2.0 GLi Dynamic Force,30184,Álcool,Gasolina,N/D,11.6,N/D,13.9,35-468-2021,35-468-30184-2021,FLEX
40,Outras,2435,PRIUS,2018,Prius 1.8 VVT-I High (Aut),28310,Híbrido / Elétrico,Gasolina,N/D,18.9,N/D,17,40-2435-2018,40-2435-28310-2018,GASOLINA
40,Outras,468,COROLLA,2021,Corolla 2.0 GLi Dynamic Force,30184,Álcool,Gasolina,N/D,11.6,N/D,13.9,40-468-2021,40-468-30184-2021,FLEX
5,Chevrolet,2428,ONIX,2019,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2019,5-2428-31043-2019,FLEX
5,Chevrolet,2428,ONIX,2014,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2014,5-2428-31043-2014,FLEX
17,Hyundai,826,TUCSON,2022,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2022,17-826-30788-2022,GASOLINA
5,Chevrolet,2428,ONIX,2013,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2013,5-2428-31043-2013,FLEX
5,Chevrolet,2428,ONIX,2022,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2022,5-2428-31043-2022,FLEX
5,Chevrolet,2428,ONIX,2015,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2015,5-2428-31043-2015,FLEX
5,Chevrolet,2428,ONIX,2020,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2020,5-2428-31043-2020,FLEX
5,Chevrolet,2428,ONIX,2017,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2017,5-2428-31043-2017,FLEX
5,Chevrolet,2428,ONIX,2018,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2018,5-2428-31043-2018,FLEX
36,Volkswagen,479,FUSCA,2015,Fusca 2.0 TSi Sport,18382,Gasolina,N/D,9.9,N/D,16.7,N/D,36-479-2015,36-479-18382-2015,GASOLINA
36,Volkswagen,479,FUSCA,2014,Fusca 2.0 TSi Sport,15356,Gasolina,N/D,9.9,N/D,16.7,N/D,36-479-2014,36-479-15356-2014,GASOLINA
36,Volkswagen,479,FUSCA,2013,Fusca 2.0 TSi Sport,14515,Gasolina,N/D,9.9,N/D,16.7,N/D,36-479-2013,36-479-14515-2013,GASOLINA
5,Chevrolet,2428,ONIX,2016,Onix 1.0,31043,Álcool,Gasolina,9.9,13.9,11.7,16.7,5-2428-2016,5-2428-31043-2016,FLEX
17,Hyundai,826,TUCSON,2016,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2016,17-826-30788-2016,GASOLINA
17,Hyundai,826,TUCSON,2015,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2015,17-826-30788-2015,GASOLINA
17,Hyundai,826,TUCSON,2014,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2014,17-826-30788-2014,GASOLINA
17,Hyundai,826,TUCSON,2013,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2013,17-826-30788-2013,GASOLINA
17,Hyundai,826,TUCSON,2012,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2012,17-826-30788-2012,GASOLINA
17,Hyundai,826,TUCSON,2011,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2011,17-826-30788-2011,GASOLINA
17,Hyundai,826,TUCSON,2010,Tucson 1.6 T-GDI GLS,30788,Gasolina,N/D,9.9,N/D,11.7,N/D,17-826-2010,17-826-30788-2010,GASOLINA
40,Outras,469,COROLLA WAGON,1996,Corolla Wagon LE 1.8 16V,19705,Gasolina,N/D,9.8,N/D,13.2,N/D,40-469-1996,40-469-19705-1996,GASOLINA
