Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
36,Volkswagen,480,GOL,2022,GOL,
3,Audi,12,100,2021,100,
3,Audi,20,100 AVANT,2021,100,AVANT
3,Audi,15,A3,2021,A3,
3,Audi,2550,A3 CABRIOLET,2021,A3,CABRIOLET
3,Audi,2517,A3 SEDAN,2021,A3,SEDAN
3,Audi,35,TT,2021,TT,
3,Audi,2575,TT RS,2021,TT,RS
4,BMW,2617,X4,2021,X4,
100,Caoa Chery,1092,CIELO HATCH,2022,CIELO,HATCH
100,Caoa Chery,1093,CIELO SEDAN,2022,CIELO,SEDAN
5,Chevrolet,121,ASTRA HATCH,1995,ASTRA,HATCH
5,Chevrolet,122,ASTRA SEDAN,2022,ASTRA,SEDAN
5,Chevrolet,123,ASTRA WAGON,2022,ASTRA,WAGON
5,Chevrolet,559,BLAZER,2022,BLAZER,
5,Chevrolet,539,C10,2022,C10,
5,Chevrolet,543,C20,2022,C20,
5,Chevrolet,128,CARAVAN,2022,CARAVAN,
5,Chevrolet,130,CELTA,2012,CELTA,
5,Chevrolet,131,CHEVETTE HATCH,1983,CHEVETTE,HATCH
5,Chevrolet,133,CHEVETTE SEDAN,1973,CHEVETTE,SEDAN
5,Chevrolet,547,CHEVY 500,2022,CHEVY,500
5,Chevrolet,877,CLASSIC,2022,CLASSIC,
5,Chevrolet,2329,COBALT,2014,COBALT,
5,Chevrolet,134,CORSA HATCH,2012,CORSA,HATCH
5,Chevrolet,548,CORSA PICK-UP,2001,CORSA,PICK-UP
5,Chevrolet,135,CORSA SEDAN,2001,CORSA,SEDAN
5,Chevrolet,136,CORSA WAGON,2002,CORSA,WAGON
5,Chevrolet,2317,CRUZE,2022,CRUZE,
5,Chevrolet,2363,CRUZE SPORT6,2022,CRUZE,SPORT6
5,Chevrolet,140,KADETT,1996,KADETT,
5,Chevrolet,139,KADETT CONVERSIVEL,1996,KADETT,CONVERSIVEL
5,Chevrolet,143,MERIVA,2003,MERIVA,
5,Chevrolet,558,MONTANA,2022,MONTANA,
5,Chevrolet,920,MONTANA COMBO,2022,MONTANA,COMBO
5,Chevrolet,145,MONZA,1984,MONZA,
5,Chevrolet,144,MONZA HATCH,2022,MONZA,HATCH
5,Chevrolet,146,OMEGA,2022,OMEGA,
5,Chevrolet,2428,ONIX,2022,ONIX,
5,Chevrolet,2794,ONIX PLUS,2022,ONIX,PLUS
5,Chevrolet,149,OPALA,2022,OPALA,
5,Chevrolet,148,OPALA COUPE,2022,OPALA,COUPE
5,Chevrolet,902,PRISMA,2022,PRISMA,
5,Chevrolet,560,S10 CABINE DUPLA,2022,S10,CABINE DUPLA
5,Chevrolet,2487,S10 CABINE SIMPLES,2022,S10,CABINE SIMPLES
5,Chevrolet,2388,SPIN,2022,SPIN,
5,Chevrolet,567,TRACKER,2022,TRACKER,
5,Chevrolet,151,VECTRA,2022,VECTRA,
5,Chevrolet,914,VECTRA GT,2022,VECTRA,GT
5,Chevrolet,152,ZAFIRA,2022,ZAFIRA,
7,Citroën,162,AX,2021,AX,
7,Citroën,164,BX,2021,BX,
7,Citroën,165,C3,2021,C3,
7,Citroën,2295,C3 PICASSO,2021,C3,PICASSO
7,Citroën,173,XSARA,2021,XSARA,
7,Citroën,174,XSARA BREAK,2021,XSARA,BREAK
7,Citroën,2655,XSARA COUPE,2021,XSARA,COUPE
7,Citroën,175,XSARA PICASSO,2021,XSARA,PICASSO
12,Dodge,1078,DART,2018,DART,
