Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
36,Volkswagen,480,GOL,2022,GOL,,
99,Aston Martin,1105,DBS,2016,DBS,,
99,Aston Martin,1035,VANTAGE,2016,VANTAGE,,
99,Aston Martin,2457,VIRAGE,2016,VIRAGE,,
3,Audi,12,100,2021,100,,
3,Audi,20,100 AVANT,2021,100,AVANT,
3,Audi,15,A3,2021,A3,,
3,Audi,2550,A3 CABRIOLET,2021,A3,CABRIOLET,
3,Audi,2517,A3 SEDAN,2021,A3,SEDAN,
3,Audi,24,ALLROAD AVANT,2021,ALLROAD,AVANT,
3,Audi,2801,E-TRON,2021,E-TRON,,
3,Audi,2573,RS Q3,2021,RS,Q3,
3,Audi,35,TT,2021,TT,,
3,Audi,2575,TT RS,2021,TT,RS,
3,Audi,1111,TTS,2021,TTS,,
104,Bentley,1079,CONTINENTAL FLYING SPUR,2016,CONTINENTAL,FLYING,SPUR
104,Bentley,1080,CONTINENTAL GT,2016,CONTINENTAL,GT,
104,Bentley,1081,CONTINENTAL GTC,2016,CONTINENTAL,GTC,
104,Bentley,1106,CONTINENTAL SUPERSPORTS,2016,CONTINENTAL,SUPERSPORTS,
4,BMW,2495,1M,2021,1M,,
4,BMW,802,X3,2021,X3,,
4,BMW,2617,X4,2021,X4,,
4,BMW,524,X5,2021,X5,,
4,BMW,114,Z3,2021,Z3,,
100,Caoa Chery,2338,S 18,2022,S,18,
5,Chevrolet,1055,AGILE,2011,AGILE,,
5,Chevrolet,121,ASTRA HATCH,1995,ASTRA,HATCH,
5,Chevrolet,122,ASTRA SEDAN,2022,ASTRA,SEDAN,
5,Chevrolet,123,ASTRA WAGON,2022,ASTRA,WAGON,
5,Chevrolet,559,BLAZER,2022,BLAZER,,
5,Chevrolet,539,C10,2022,C10,,
5,Chevrolet,1050,C14,2022,C14,,
5,Chevrolet,543,C20,2022,C20,,
5,Chevrolet,964,CAPTIVA,2022,CAPTIVA,,
5,Chevrolet,128,CARAVAN,2022,CARAVAN,,
5,Chevrolet,130,CELTA,2012,CELTA,,
5,Chevrolet,131,CHEVETTE HATCH,1983,CHEVETTE,HATCH,
5,Chevrolet,133,CHEVETTE SEDAN,1973,CHEVETTE,SEDAN,
5,Chevrolet,547,CHEVY 500,2022,CHEVY,500,
5,Chevrolet,877,CLASSIC,2022,CLASSIC,,
5,Chevrolet,2329,COBALT,2014,COBALT,,
5,Chevrolet,1125,COLORADO,2022,COLORADO,,
5,Chevrolet,134,CORSA HATCH,2012,CORSA,HATCH,
5,Chevrolet,548,CORSA PICK-UP,2001,CORSA,PICK-UP,
5,Chevrolet,135,CORSA SEDAN,2001,CORSA,SEDAN,
