Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Versao,Versao_Cod,Combustivel_Gasolina,Combustivel_Alcool,Consumo_Cidade_Gasolina,Consumo_Cidade_Alcool,Consumo_Estrada_Gasolina,Consumo_Estrada_Alcool,Chave_A,Chave_B
5,Chevrolet,2428,ONIX,2019,Onix 1.0,31043,,,,,,,5-2428-2019,5-2428-31043-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0,31043,,,,,,,5-2428-2018,5-2428-31043-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 LT,31044,,,,,,,5-2428-2019,5-2428-31044-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 LT,31044,,,,,,,5-2428-2018,5-2428-31044-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo (Aut),31045,,,,,,,5-2428-2019,5-2428-31045-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo (Aut),31045,,,,,,,5-2428-2018,5-2428-31045-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 LT R7H,31054,,,,,,,5-2428-2019,5-2428-31054-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 LT R7H,31054,,,,,,,5-2428-2018,5-2428-31054-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo LT,31046,,,,,,,5-2428-2019,5-2428-31046-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo LT,31046,,,,,,,5-2428-2018,5-2428-31046-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo LTZ,31048,,,,,,,5-2428-2019,5-2428-31048-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo LTZ,31048,,,,,,,5-2428-2018,5-2428-31048-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo LT (Aut),31047,,,,,,,5-2428-2019,5-2428-31047-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo LT (Aut),31047,,,,,,,5-2428-2018,5-2428-31047-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo LTZ (Aut),31049,,,,,,,5-2428-2019,5-2428-31049-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo LTZ (Aut),31049,,,,,,,5-2428-2018,5-2428-31049-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo RS (Aut),31051,,,,,,,5-2428-2019,5-2428-31051-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo RS (Aut),31051,,,,,,,5-2428-2018,5-2428-31051-2018
5,Chevrolet,2428,ONIX,2019,Onix 1.0 Turbo Premier (Aut),31050,,,,,,,5-2428-2019,5-2428-31050-2019
5,Chevrolet,2428,ONIX,2018,Onix 1.0 Turbo Premier (Aut),31050,,,,,,,5-2428-2018,5-2428-31050-2018
36,Volkswagen,480,GOL,2010,Gol 1.0,30807,,,,,,,36-480-2010,36-480-30807-2010
36,Volkswagen,480,GOL,2009,Gol 1.0,30807,,,,,,,36-480-2009,36-480-30807-2009
36,Volkswagen,480,GOL,1997,Gol 1.0,30807,,,,,,,36-480-1997,36-480-30807-1997
36,Volkswagen,480,GOL,1996,Gol 1.0,30807,,,,,,,36-480-1996,36-480-30807-1996
36,Volkswagen,480,GOL,1995,Gol 1.0,30807,,,,,,,36-480-1995,36-480-30807-1995
36,Volkswagen,480,GOL,2010,Gol 1.6,30808,,,,,,,36-480-2010,36-480-30808-2010
36,Volkswagen,480,GOL,2009,Gol 1.6,30808,,,,,,,36-480-2009,36-480-30808-2009
36,Volkswagen,480,GOL,1997,Gol 1.6,30808,,,,,,,36-480-1997,36-480-30808-1997
36,Volkswagen,480,GOL,1996,Gol 1.6,30808,,,,,,,36-480-1996,36-480-30808-1996
36,Volkswagen,480,GOL,1995,Gol 1.6,30808,,,,,,,36-480-1995,36-480-30808-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 (Aut),30809,,,,,,,36-480-2010,36-480-30809-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 (Aut),30809,,,,,,,36-480-2009,36-480-30809-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 (Aut),30809,,,,,,,36-480-1997,36-480-30809-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 (Aut),30809,,,,,,,36-480-1996,36-480-30809-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 (Aut),30809,,,,,,,36-480-1995,36-480-30809-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI (Flex),30167,,,,,,,36-480-2010,36-480-30167-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI (Flex),30167,,,,,,,36-480-2009,36-480-30167-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI (Flex),30167,,,,,,,36-480-1997,36-480-30167-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI (Flex),30167,,,,,,,36-480-1996,36-480-30167-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI (Flex),30167,,,,,,,36-480-1995,36-480-30167-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex),30168,,,,,,,36-480-2010,36-480-30168-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex),30168,,,,,,,36-480-2009,36-480-30168-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex),30168,,,,,,,36-480-1997,36-480-30168-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex),30168,,,,,,,36-480-1996,36-480-30168-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex),30168,,,,,,,36-480-1995,36-480-30168-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex) (Aut),30169,,,,,,,36-480-2010,36-480-30169-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex) (Aut),30169,,,,,,,36-480-2009,36-480-30169-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex) (Aut),30169,,,,,,,36-480-1997,36-480-30169-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex) (Aut),30169,,,,,,,36-480-1996,36-480-30169-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex) (Aut),30169,,,,,,,36-480-1995,36-480-30169-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI (Flex),29440,,,,,,,36-480-2010,36-480-29440-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI (Flex),29440,,,,,,,36-480-2009,36-480-29440-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI (Flex),29440,,,,,,,36-480-1997,36-480-29440-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI (Flex),29440,,,,,,,36-480-1996,36-480-29440-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI (Flex),29440,,,,,,,36-480-1995,36-480-29440-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex),29535,,,,,,,36-480-2010,36-480-29535-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex),29535,,,,,,,36-480-2009,36-480-29535-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex),29535,,,,,,,36-480-1997,36-480-29535-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex),29535,,,,,,,36-480-1996,36-480-29535-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex),29535,,,,,,,36-480-1995,36-480-29535-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex) (Aut),29536,,,,,,,36-480-2010,36-480-29536-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex) (Aut),29536,,,,,,,36-480-2009,36-480-29536-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex) (Aut),29536,,,,,,,36-480-1997,36-480-29536-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex) (Aut),29536,,,,,,,36-480-1996,36-480-29536-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex) (Aut),29536,,,,,,,36-480-1995,36-480-29536-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI (Flex),28834,,,,,,,36-480-2010,36-480-28834-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI (Flex),28834,,,,,,,36-480-2009,36-480-28834-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI (Flex),28834,,,,,,,36-480-1997,36-480-28834-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI (Flex),28834,,,,,,,36-480-1996,36-480-28834-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI (Flex),28834,,,,,,,36-480-1995,36-480-28834-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex),28835,,,,,,,36-480-2010,36-480-28835-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex),28835,,,,,,,36-480-2009,36-480-28835-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex),28835,,,,,,,36-480-1997,36-480-28835-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex),28835,,,,,,,36-480-1996,36-480-28835-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex),28835,,,,,,,36-480-1995,36-480-28835-1995
36,Volkswagen,480,GOL,2010,Gol 1.6 MSI (Flex) (Aut),29015,,,,,,,36-480-2010,36-480-29015-2010
36,Volkswagen,480,GOL,2009,Gol 1.6 MSI (Flex) (Aut),29015,,,,,,,36-480-2009,36-480-29015-2009
36,Volkswagen,480,GOL,1997,Gol 1.6 MSI (Flex) (Aut),29015,,,,,,,36-480-1997,36-480-29015-1997
36,Volkswagen,480,GOL,1996,Gol 1.6 MSI (Flex) (Aut),29015,,,,,,,36-480-1996,36-480-29015-1996
36,Volkswagen,480,GOL,1995,Gol 1.6 MSI (Flex) (Aut),29015,,,,,,,36-480-1995,36-480-29015-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI City (Flex) 2p,27445,,,,,,,36-480-2010,36-480-27445-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI City (Flex) 2p,27445,,,,,,,36-480-2009,36-480-27445-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI City (Flex) 2p,27445,,,,,,,36-480-1997,36-480-27445-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI City (Flex) 2p,27445,,,,,,,36-480-1996,36-480-27445-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI City (Flex) 2p,27445,,,,,,,36-480-1995,36-480-27445-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI City (Flex),28319,,,,,,,36-480-2010,36-480-28319-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI City (Flex),28319,,,,,,,36-480-2009,36-480-28319-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI City (Flex),28319,,,,,,,36-480-1997,36-480-28319-1997
36,Volkswagen,480,GOL,1996,Gol 1.0 MPI City (Flex),28319,,,,,,,36-480-1996,36-480-28319-1996
36,Volkswagen,480,GOL,1995,Gol 1.0 MPI City (Flex),28319,,,,,,,36-480-1995,36-480-28319-1995
36,Volkswagen,480,GOL,2010,Gol 1.0 MPI Trendline (Flex),27447,,,,,,,36-480-2010,36-480-27447-2010
36,Volkswagen,480,GOL,2009,Gol 1.0 MPI Trendline (Flex),27447,,,,,,,36-480-2009,36-480-27447-2009
36,Volkswagen,480,GOL,1997,Gol 1.0 MPI Trendline (Flex),27447,,,,,,,36-480-1997,36-480-27447-1997
