RM,VKT,Ano
Campo Grande,9246908464.02513,2015
Região Integrada de Desenvolvimento da Grande Teresina,8060610786.859821,2015
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,35639160079.15803,2015
Região Metropolitana da Capital,2816677054.155548,2015
Região Metropolitana da Grande São Luís,8080516864.541547,2015
Região Metropolitana da Grande Vitória,11468422955.20294,2015
Região Metropolitana de Aracaju,5049376501.381968,2015
Região Metropolitana de Belo Horizonte,35623131518.48129,2015
Região Metropolitana de Belém,10234553610.68275,2015
Região Metropolitana de Curitiba,34409787498.410324,2015
Região Metropolitana de Florianópolis,11580287695.941582,2015
Região Metropolitana de Fortaleza,19960503321.68901,2015
Região Metropolitana de Goiânia,25232462900.669155,2015
Região Metropolitana de João Pessoa,7799875233.614689,2015
Região Metropolitana de Macapá,3621159110.1307383,2015
Região Metropolitana de Maceió,5548229064.864868,2015
Região Metropolitana de Manaus,13816169235.599508,2015
Região Metropolitana de Natal,9269994842.84499,2015
Região Metropolitana de Palmas,4833143978.808463,2015
Região Metropolitana de Porto Alegre,35362714595.74884,2015
Região Metropolitana de Porto Velho,4562562966.829472,2015
Região Metropolitana de Recife,17270932967.203133,2015
Região Metropolitana de Salvador,16128913546.56282,2015
Região Metropolitana de São Paulo,169537794876.74985,2015
Região Metropolitana do Rio de Janeiro,53704211406.40534,2015
Região Metropolitana do Vale do Rio Cuiabá,9668835558.241385,2015
Rio Branco,2539190691.3322606,2015
Campo Grande,8152617743.00344,2016
Região Integrada de Desenvolvimento da Grande Teresina,7827501004.3291645,2016
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,34160912664.07769,2016
Região Metropolitana da Capital,2702313558.370384,2016
Região Metropolitana da Grande São Luís,7806480077.70676,2016
Região Metropolitana da Grande Vitória,10819627866.259634,2016
Região Metropolitana de Aracaju,4649536299.99124,2016
Região Metropolitana de Belo Horizonte,33874941761.281197,2016
Região Metropolitana de Belém,9811148971.698706,2016
Região Metropolitana de Curitiba,32089840630.399845,2016
Região Metropolitana de Florianópolis,10873196779.317375,2016
Região Metropolitana de Fortaleza,18997073320.15446,2016
Região Metropolitana de Goiânia,22404838127.80427,2016
Região Metropolitana de João Pessoa,7404290418.837803,2016
Região Metropolitana de Macapá,2806175452.691223,2016
Região Metropolitana de Maceió,5281637247.887128,2016
Região Metropolitana de Manaus,12406539508.118511,2016
Região Metropolitana de Natal,8600829570.806389,2016
Região Metropolitana de Palmas,4458408106.563304,2016
Região Metropolitana de Porto Alegre,30888092009.40582,2016
Região Metropolitana de Porto Velho,4301787028.773065,2016
Região Metropolitana de Recife,15796449683.771725,2016
Região Metropolitana de Salvador,15115182027.915722,2016
Região Metropolitana de São Paulo,150314334200.9255,2016
Região Metropolitana do Rio de Janeiro,47395736560.19971,2016
Região Metropolitana do Vale do Rio Cuiabá,8641912822.452032,2016
Rio Branco,2364284489.1538286,2016
Campo Grande,7988987765.499827,2017
Região Integrada de Desenvolvimento da Grande Teresina,7795183773.106354,2017
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,34922507802.10567,2017
Região Metropolitana da Capital,2773158379.0666666,2017
Região Metropolitana da Grande São Luís,8006206717.391461,2017
Região Metropolitana da Grande Vitória,10406644091.923103,2017
Região Metropolitana de Aracaju,4485060886.342982,2017
Região Metropolitana de Belo Horizonte,34137942543.269157,2017
Região Metropolitana de Belém,9868677591.5888,2017
Região Metropolitana de Curitiba,33010195392.380714,2017
Região Metropolitana de Florianópolis,10533085625.555202,2017
Região Metropolitana de Fortaleza,18379959755.36779,2017
Região Metropolitana de Goiânia,23009935078.8646,2017
Região Metropolitana de João Pessoa,7346784052.083686,2017
Região Metropolitana de Macapá,2804813660.795874,2017
Região Metropolitana de Maceió,5200654950.972662,2017
Região Metropolitana de Manaus,13086033360.706156,2017
Região Metropolitana de Natal,8485018037.715881,2017
Região Metropolitana de Palmas,4430532818.681286,2017
Região Metropolitana de Porto Alegre,30994743637.22872,2017
Região Metropolitana de Porto Velho,4450748628.640971,2017
Região Metropolitana de Recife,15902802222.25708,2017
Região Metropolitana de Salvador,14944256492.229893,2017
Região Metropolitana de São Paulo,149671783121.46902,2017
Região Metropolitana do Rio de Janeiro,43190012601.29068,2017
Região Metropolitana do Vale do Rio Cuiabá,9230129833.927588,2017
Rio Branco,2273958869.456929,2017
Campo Grande,8118024063.335909,2018
Região Integrada de Desenvolvimento da Grande Teresina,7861763394.127964,2018
Região Integrada de Desenvolvimento do Distrito Federal e Entorno,35027432988.26772,2018
Região Metropolitana da Capital,3068122107.647728,2018
Região Metropolitana da Grande São Luís,8305004406.276817,2018
Região Metropolitana da Grande Vitória,10682436833.328053,2018
Região Metropolitana de Aracaju,4410004747.260535,2018
Região Metropolitana de Belo Horizonte,32119701424.865303,2018
Região Metropolitana de Belém,10366515467.07874,2018
Região Metropolitana de Curitiba,33625566216.007034,2018
Região Metropolitana de Florianópolis,10441916687.771914,2018
Região Metropolitana de Fortaleza,18437852229.29552,2018
